358732, 308044
169880, 424917
684008, 201359
642237, 75808
915764, 137884
821516, 677899
606836, 210421
768172, 667765
800818, 495285
132123, 30099
276537, 123893
505157, 782304
11496, 44538
559486, 596097
821485, 149191
927010, 264765
118137, 727498
257344, 908055
368779, 198776
883985, 790613
48490, 230026
660099, 607292
802003, 652954
122326, 837290
571994, 827609
614691, 415162
449838, 741715
147830, 390664
882930, 445079
111761, 22948
898437, 314026
26448, 596282
701933, 747321
588192, 841553
235550, 435224
239621, 491499
114610, 289902
278163, 812925
498486, 732345
894286, 941447
185579, 907202
155386, 387166
496888, 162671
252553, 501764
302666, 872104
77136, 1280
54589, 385922
301695, 671936
233571, 929560
40107, 229879
691957, 131435
543063, 481678
692473, 311631
177206, 544520
933829, 689055
551048, 419190
392512, 620378
238453, 151558
49891, 182246
77144, 237000
802766, 575962
677322, 925794
172765, 249149
17886, 859015
770052, 384584
247530, 699351
340037, 194513
777054, 503168
27699, 860278
393481, 201072
822758, 398640
398041, 843059
29879, 929013
451691, 15731
298900, 530245
480198, 678142
557526, 386204
99095, 458967
900050, 159961
939843, 93731
145862, 637323
434304, 777026
735017, 37985
585670, 202341
307549, 297416
744398, 274117
182967, 529998
611420, 31757
468965, 787180
393016, 115748
539271, 328847
311431, 847728
598847, 592619
228701, 216548
841515, 906827
477663, 507284
659611, 876330
42636, 716443
405121, 534655
187492, 558658
