73221,73231
768990,700911
99438,866388
122211,122222
423412,442446
32650,32650
817537,1030
633736,633731
710240,604924
381285,381287
442038,442038
336092,336090
14925,577000
362266,868493
759160,759145
443424,443411
542857,34746
340385,179023
645591,467749
540906,540908
668634,668674
522418,82963
668604,633038
10525,871969
872905,52027
582303,5490
372567,372577
926314,926404
841002,840892
822725,822696
724027,724004
524216,608078
295332,295348
183207,155453
346963,182526
346325,346315
516377,60233
175197,175187
650623,513038
102209,102214
158604,158406
489109,489901
314922,227251
857032,512164
216807,292652
638477,638468
861628,861827
93848,933618
785368,785403
476145,913265
720811,64343
915425,915423
643762,643716
853907,927881
810730,810470
609506,852659
683930,681884
785710,574231
82850,878857
188363,188364
108175,112822
244724,250848
772548,772580
119228,119232
522724,569026
239480,319707
560508,407947
654094,654109
780828,774936
389084,389085
107967,107953
885030,865085
781052,779230
40234,40228
510771,510776
220418,292211
520405,769538
890648,890646
1765,1810
591613,591618
71126,809709
60501,465350
209394,209375
601880,601872
114547,114547
705478,705475
100423,522846
431381,449283
329377,329381
200550,351400
522536,12747
644079,641642
597926,597961
918219,95993
108498,110224
174182,167732
402985,402982
902263,901901
463536,463535
629626,629591
